3, 2, 1, 0
3, 2, 1, 2
3, 2, 1, 4
3, 2, 1, 5
3, 2, 1, 6
3, 2, 3, 2
3, 2, 3, 4
3, 2, 3, 6
3, 2, 3, 7
3, 2, 3, 8
3, 2, 5, 0
3, 2, 5, 1
3, 2, 5, 2
3, 2, 5, 4
3, 2, 5, 6
3, 2, 5, 8
3, 2, 5, 9
3, 2, 5, 10
3, 2, 6, 1
3, 2, 6, 2
3, 2, 6, 3
3, 2, 6, 5
3, 2, 6, 7
3, 2, 6, 9
3, 2, 6, 10
3, 2, 6, 11
3, 2, 7, 2
3, 2, 7, 3
3, 2, 7, 4
3, 2, 7, 6
3, 2, 7, 8
3, 2, 7, 10
3, 2, 7, 11
3, 2, 7, 12
3, 4, 3, 2
3, 4, 3, 4
3, 4, 3, 6
3, 4, 3, 7
3, 4, 3, 8
3, 4, 5, 0
3, 4, 5, 1
3, 4, 5, 2
3, 4, 5, 4
3, 4, 5, 6
3, 4, 5, 8
3, 4, 5, 9
3, 4, 5, 10
3, 4, 7, 2
3, 4, 7, 3
3, 4, 7, 4
3, 4, 7, 6
3, 4, 7, 8
3, 4, 7, 10
3, 4, 7, 11
3, 4, 7, 12
3, 4, 8, 3
3, 4, 8, 4
3, 4, 8, 5
3, 4, 8, 7
3, 4, 8, 9
3, 4, 8, 11
3, 4, 8, 12
3, 4, 8, 13
3, 4, 9, 4
3, 4, 9, 5
3, 4, 9, 6
3, 4, 9, 8
3, 4, 9, 10
3, 4, 9, 12
3, 4, 9, 13
3, 6, 1, 0
3, 6, 1, 2
3, 6, 1, 4
3, 6, 1, 5
3, 6, 1, 6
3, 6, 2, 1
3, 6, 2, 3
3, 6, 2, 5
3, 6, 2, 6
3, 6, 2, 7
3, 6, 3, 2
3, 6, 3, 4
3, 6, 3, 6
3, 6, 3, 7
3, 6, 3, 8
3, 6, 5, 0
3, 6, 5, 1
3, 6, 5, 2
3, 6, 5, 4
3, 6, 5, 6
3, 6, 5, 8
3, 6, 5, 9
3, 6, 5, 10
3, 6, 7, 2
3, 6, 7, 3
3, 6, 7, 4
3, 6, 7, 6
3, 6, 7, 8
3, 6, 7, 10
3, 6, 7, 11
3, 6, 7, 12
3, 6, 9, 4
3, 6, 9, 5
3, 6, 9, 6
3, 6, 9, 8
3, 6, 9, 10
3, 6, 9, 12
3, 6, 9, 13
3, 6, 10, 5
3, 6, 10, 6
3, 6, 10, 7
3, 6, 10, 9
3, 6, 10, 11
3, 6, 10, 13
3, 6, 10, 15
3, 6, 11, 6
3, 6, 11, 7
3, 6, 11, 8
3, 6, 11, 10
3, 6, 11, 12
3, 6, 11, 15
3, 6, 11, 16
3, 7, 2, 1
3, 7, 2, 3
3, 7, 2, 5
3, 7, 2, 6
3, 7, 2, 7
3, 7, 3, 2
3, 7, 3, 4
3, 7, 3, 6
3, 7, 3, 7
3, 7, 3, 8
3, 7, 4, 3
3, 7, 4, 5
3, 7, 4, 7
3, 7, 4, 8
3, 7, 4, 9
3, 7, 6, 1
3, 7, 6, 2
3, 7, 6, 3
3, 7, 6, 5
3, 7, 6, 7
3, 7, 6, 9
3, 7, 6, 10
3, 7, 6, 11
3, 7, 8, 3
3, 7, 8, 4
3, 7, 8, 5
3, 7, 8, 7
3, 7, 8, 9
3, 7, 8, 11
3, 7, 8, 12
3, 7, 8, 13
3, 7, 10, 5
3, 7, 10, 6
3, 7, 10, 7
3, 7, 10, 9
3, 7, 10, 11
3, 7, 10, 13
3, 7, 10, 15
3, 7, 11, 6
3, 7, 11, 7
3, 7, 11, 8
3, 7, 11, 10
3, 7, 11, 12
3, 7, 11, 15
3, 7, 11, 16
3, 7, 12, 7
3, 7, 12, 8
3, 7, 12, 9
3, 7, 12, 11
3, 7, 12, 13
3, 7, 12, 15
3, 7, 12, 16
3, 7, 12, 17
3, 8, 3, 2
3, 8, 3, 4
3, 8, 3, 6
3, 8, 3, 7
3, 8, 3, 8
3, 8, 4, 3
3, 8, 4, 5
3, 8, 4, 7
3, 8, 4, 8
3, 8, 4, 9
3, 8, 5, 0
3, 8, 5, 1
3, 8, 5, 2
3, 8, 5, 4
3, 8, 5, 6
3, 8, 5, 8
3, 8, 5, 9
3, 8, 5, 10
3, 8, 7, 2
3, 8, 7, 3
3, 8, 7, 4
3, 8, 7, 6
3, 8, 7, 8
3, 8, 7, 10
3, 8, 7, 11
3, 8, 7, 12
3, 8, 9, 4
3, 8, 9, 5
3, 8, 9, 6
3, 8, 9, 8
3, 8, 9, 10
3, 8, 9, 12
3, 8, 9, 13
3, 8, 11, 6
3, 8, 11, 7
3, 8, 11, 8
3, 8, 11, 10
3, 8, 11, 12
3, 8, 11, 15
3, 8, 11, 16
3, 8, 12, 7
3, 8, 12, 8
3, 8, 12, 9
3, 8, 12, 11
3, 8, 12, 13
3, 8, 12, 15
3, 8, 12, 16
3, 8, 12, 17
3, 8, 13, 8
3, 8, 13, 9
3, 8, 13, 10
3, 8, 13, 12
