1, 2, 1, 2, 1, 2, 6, 11, 16
1, 2, 1, 2, 1, 2, 7, 11, 16
1, 2, 1, 2, 1, 2, 7, 12, 16
1, 2, 1, 2, 1, 4, 7, 11, 16
1, 2, 1, 2, 1, 4, 7, 12, 16
1, 2, 1, 2, 1, 4, 8, 11, 16
1, 2, 1, 2, 1, 4, 8, 12, 16
1, 2, 1, 2, 1, 4, 9, 12, 16
1, 2, 1, 2, 1, 5, 6, 11, 16
1, 2, 1, 2, 1, 5, 8, 11, 16
1, 2, 1, 2, 1, 5, 8, 12, 16
1, 2, 1, 2, 1, 5, 9, 12, 16
1, 2, 1, 2, 1, 5, 10, 11, 16
1, 2, 1, 2, 1, 5, 10, 15, 16
1, 2, 1, 2, 1, 6, 7, 11, 16
1, 2, 1, 2, 1, 6, 7, 12, 16
1, 2, 1, 2, 1, 6, 9, 12, 16
1, 2, 1, 2, 1, 6, 10, 11, 16
1, 2, 1, 2, 1, 6, 10, 15, 16
1, 2, 1, 2, 1, 6, 11, 12, 16
1, 2, 1, 2, 1, 6, 11, 15, 16
1, 2, 1, 2, 3, 2, 6, 11, 16
1, 2, 1, 2, 3, 2, 7, 11, 16
1, 2, 1, 2, 3, 2, 7, 12, 16
1, 2, 1, 2, 3, 4, 7, 11, 16
1, 2, 1, 2, 3, 4, 7, 12, 16
1, 2, 1, 2, 3, 4, 8, 11, 16
1, 2, 1, 2, 3, 4, 8, 12, 16
1, 2, 1, 2, 3, 4, 9, 12, 16
1, 2, 1, 2, 3, 6, 7, 11, 16
1, 2, 1, 2, 3, 6, 7, 12, 16
1, 2, 1, 2, 3, 6, 9, 12, 16
1, 2, 1, 2, 3, 6, 10, 11, 16
1, 2, 1, 2, 3, 6, 10, 15, 16
1, 2, 1, 2, 3, 6, 11, 12, 16
1, 2, 1, 2, 3, 6, 11, 15, 16
1, 2, 1, 2, 3, 7, 6, 11, 16
1, 2, 1, 2, 3, 7, 8, 11, 16
