3, 2, 1, 2, 1
3, 2, 1, 2, 3
3, 2, 1, 2, 6
3, 2, 1, 5, 1
3, 2, 1, 5, 6
3, 2, 1, 5, 9
3, 2, 3, 2, 1
3, 2, 3, 2, 3
3, 2, 3, 2, 6
3, 2, 3, 4, 8
3, 2, 3, 4, 3
3, 2, 3, 7, 3
3, 2, 3, 7, 6
3, 2, 3, 7, 8
3, 2, 3, 7, 11
3, 2, 6, 2, 1
3, 2, 6, 2, 3
3, 2, 6, 2, 6
3, 2, 6, 5, 1
3, 2, 6, 5, 6
3, 2, 6, 5, 9
3, 2, 6, 7, 3
3, 2, 6, 7, 6
3, 2, 6, 7, 8
3, 2, 6, 7, 11
3, 2, 6, 10, 6
3, 2, 6, 10, 9
3, 2, 6, 10, 11
3, 4, 8, 4, 8
3, 4, 8, 4, 3
3, 4, 8, 7, 3
3, 4, 8, 7, 6
3, 4, 8, 7, 8
3, 4, 8, 7, 11
3, 4, 8, 12, 8
3, 4, 8, 12, 11
3, 4, 8, 12, 16
3, 4, 3, 2, 1
3, 4, 3, 2, 3
3, 4, 3, 2, 6
3, 4, 3, 4, 8
3, 4, 3, 4, 3
3, 4, 3, 7, 3
3, 4, 3, 7, 6
3, 4, 3, 7, 8
3, 4, 3, 7, 11
3, 7, 3, 2, 1
3, 7, 3, 2, 3
3, 7, 3, 2, 6
3, 7, 3, 4, 8
3, 7, 3, 4, 3
3, 7, 3, 7, 3
3, 7, 3, 7, 6
3, 7, 3, 7, 8
3, 7, 3, 7, 11
3, 7, 6, 2, 1
3, 7, 6, 2, 3
3, 7, 6, 2, 6
3, 7, 6, 5, 1
3, 7, 6, 5, 6
3, 7, 6, 5, 9
3, 7, 6, 7, 3
3, 7, 6, 7, 6
3, 7, 6, 7, 8
3, 7, 6, 7, 11
3, 7, 6, 10, 6
3, 7, 6, 10, 9
3, 7, 6, 10, 11
3, 7, 8, 4, 8
3, 7, 8, 4, 3
3, 7, 8, 7, 3
3, 7, 8, 7, 6
3, 7, 8, 7, 8
3, 7, 8, 7, 11
3, 7, 8, 12, 8
3, 7, 8, 12, 11
3, 7, 8, 12, 16
3, 7, 11, 7, 3
3, 7, 11, 7, 6
3, 7, 11, 7, 8
3, 7, 11, 7, 11
3, 7, 11, 10, 6
3, 7, 11, 10, 9
3, 7, 11, 10, 11
3, 7, 11, 12, 8
3, 7, 11, 12, 11
3, 7, 11, 12, 16
3, 7, 11, 15, 11
3, 7, 11, 15, 16
