1, 2, 1, 2, 5, 0
1, 2, 1, 2, 5, 1
1, 2, 1, 2, 5, 6
1, 2, 1, 2, 5, 8
1, 2, 1, 2, 5, 9
1, 2, 1, 2, 7, 3
1, 2, 1, 2, 7, 6
1, 2, 1, 2, 7, 8
1, 2, 1, 2, 7, 11
1, 2, 1, 4, 5, 0
1, 2, 1, 4, 5, 1
1, 2, 1, 4, 5, 6
1, 2, 1, 4, 5, 8
1, 2, 1, 4, 5, 9
1, 2, 1, 4, 7, 3
1, 2, 1, 4, 7, 6
1, 2, 1, 4, 7, 8
1, 2, 1, 4, 7, 11
1, 2, 1, 5, 2, 1
1, 2, 1, 5, 2, 3
1, 2, 1, 5, 2, 6
1, 2, 1, 5, 4, 3
1, 2, 1, 5, 4, 8
1, 2, 1, 5, 4, 9
1, 2, 1, 5, 10, 6
1, 2, 1, 5, 10, 9
1, 2, 1, 5, 10, 11
1, 2, 1, 5, 10, 14
1, 2, 3, 2, 5, 0
1, 2, 3, 2, 5, 1
1, 2, 3, 2, 5, 6
1, 2, 3, 2, 5, 8
1, 2, 3, 2, 5, 9
1, 2, 3, 2, 7, 3
1, 2, 3, 2, 7, 6
1, 2, 3, 2, 7, 8
1, 2, 3, 2, 7, 11
1, 2, 3, 4, 5, 0
1, 2, 3, 4, 5, 1
1, 2, 3, 4, 5, 6
1, 2, 3, 4, 5, 8
1, 2, 3, 4, 5, 9
1, 2, 3, 4, 7, 3
1, 2, 3, 4, 7, 6
1, 2, 3, 4, 7, 8
1, 2, 3, 4, 7, 11
1, 2, 3, 7, 2, 1
1, 2, 3, 7, 2, 3
1, 2, 3, 7, 2, 6
1, 2, 3, 7, 4, 3
1, 2, 3, 7, 4, 8
1, 2, 3, 7, 4, 9
1, 2, 3, 7, 10, 6
1, 2, 3, 7, 10, 9
1, 2, 3, 7, 10, 11
1, 2, 3, 7, 10, 14
1, 2, 3, 7, 12, 8
1, 2, 3, 7, 12, 9
1, 2, 3, 7, 12, 11
1, 2, 3, 7, 12, 17
1, 2, 6, 2, 5, 0
1, 2, 6, 2, 5, 1
1, 2, 6, 2, 5, 6
1, 2, 6, 2, 5, 8
1, 2, 6, 2, 5, 9
1, 2, 6, 2, 7, 3
1, 2, 6, 2, 7, 6
1, 2, 6, 2, 7, 8
1, 2, 6, 2, 7, 11
1, 2, 6, 5, 2, 1
1, 2, 6, 5, 2, 3
1, 2, 6, 5, 2, 6
1, 2, 6, 5, 4, 3
1, 2, 6, 5, 4, 8
1, 2, 6, 5, 4, 9
1, 2, 6, 5, 10, 6
1, 2, 6, 5, 10, 9
1, 2, 6, 5, 10, 11
1, 2, 6, 5, 10, 14
1, 2, 6, 7, 2, 1
1, 2, 6, 7, 2, 3
1, 2, 6, 7, 2, 6
1, 2, 6, 7, 4, 3
1, 2, 6, 7, 4, 8
1, 2, 6, 7, 4, 9
1, 2, 6, 7, 10, 6
1, 2, 6, 7, 10, 9
1, 2, 6, 7, 10, 11
1, 2, 6, 7, 10, 14
1, 2, 6, 7, 12, 8
1, 2, 6, 7, 12, 9
1, 2, 6, 7, 12, 11
1, 2, 6, 7, 12, 17
1, 2, 6, 10, 5, 0
1, 2, 6, 10, 5, 1
1, 2, 6, 10, 5, 6
